Tweet	Label
pagi2 udah di buat emosi :)	Anger
kok stabilitas negara, memange 10 thn negara tdk aman, bahkan sby menyuburkan ormas2 radikal, intoleran, teroris, yg berafiliasi ke partai tertentu..narasi klhtn intelektual tp bodoh..	Anger
dah lah emosi mulu liat emyu	Anger
aib? bodoh benar! sebelum kata aib itu muncul, terlebih dahulu sudah ada tindakan. yakni kekejian! jangan kau sembunyikan caramu menelaah masalah. semisal anak perempuanmu ditempeleng! apa kau juga setuju untuk dia bersikap bungkam? melapor polisi adl benar. lantas apa bedanya	Anger
dih lu yg nyebelin bego	Anger
asli malu maluin org indo tolol yg rep latah "cilukba" pake huruf hijaiyah sm "ngntd" sama ganti huruf t pake salib, ada tiktok filipin lewat fyp aku dan repnya "ngtd" semua, dasar goblogg trend tiktok ter tolol	Anger
drama abg tolol	Anger
masih emosi sih sama katla kemarin. mana keterangannya gini aja. ((hasil mengaci)) kzl.	Anger
bangsat tribute no.1, bencana no.2 mau ngalahin ini keknya	Anger
pengen pergi jauh terus teriak sambil nangis sekencang kencangnya nanti balik kalo gue udah lupa segalanya wkwj kn tolol mustahil banget	Anger
ya allah mau marah tpi gimana ya	Anger
silibus kita memang kbat gila babi. bodoh yang buat silibus ni. learning should be fun.	Anger
pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa	Anger
angka covid lagi naek. kalo masih dilanjut event offlinenya, asli bodoh sih ni brand.	Anger
bukan lebih ke sangar sih , kalo menurutku goblokk bin tolol . di ingetin untuk kebaikan malah acuh	Anger
mas ngelonte dulu mas, biar otaknya jadi seger lg, bagi org kafir seperti lu ngewe dgn lonte ibadah yg utama. punya tolol kok kebangetan bgt sih	Anger
1-10!! marah aku	Anger
tolol banget. mana ada bercinta. yg ada mimpi di kejar kejar setan semalem. asu bocil nih yang iya iya aja kalo bicara	Anger
izinin suami poligami buat menghindari zina? lol banget, heh mmngnya nabi saya poligami gegara mata keranjang trus sangean? trus ada niatan zina, tpi biar gak zina jdi dinikahin? ngelirik cewek sambil nyebarin ajaran agama gitu? tolol, belajar agama lagi sana	Anger
gua nyerah joki aja kali ya tugas poem ya allah kenapa aku bego b ing	Anger
trs barusan dia reach out aku trs minta tolong buat bantu project dia yaallaah aaaa jujur agak takut pressure tp ok gapapa	Fear
sumpah ini receh bgt dan not bts related. cm jujur w magang padet bgt dikasih project mayan banyak. trs kemaren ada senior gd presentasi gt dan keeren2 bgt nangis parah. trs aku pengen chat blio pengen tanya2. minta nomornya ke hrd, dapet, tp mau chat gajadi soalnya takut	Fear
ragu utk bisa beli barang tu karn harganya bisa buat cicilan bulanan	Fear
bisa gak sih langsung tanggal 11 aja gausah ada tanggal 10 gua takut banget mana 2 hari lagi	Fear
iya kaan yg lain suka pada coba pd gpp tp tetep takut wkwk	Fear
eh sumpah gw takut bangett. serem bangett itu orang	Fear
namnjim lag like like nya ngeri bgt, anak buah imam jumbo emg sama aja semuanya	Fear
ogeb bat dah pake sok sok an kaget	Fear
plis nilai akm keluarnya lama banget, takut	Fear
mau ikut esd aja telat, trus takut flop	Fear
emm hampir setiap waktu gitu sampe panik?	Fear
jadi malu saya	Fear
sinb kamu tiati mukanya yak takut krna evil edit	Fear
buset ngeri bgt	Fear
nah kan, sudah pasti ada alasan kuat, mengapa direksi sebelumya mengundurkan diri. belum apa apa udah jadi bumper. ngeri ngeri sedap.	Fear
pas bangun langsung kaget..	Fear
men's team grup b ngeri kali	Fear
but again aku ga registrasi beneran cuma stop di situ aja soalnya takut kualat kan udh dibilangin yg gap registrasinya tgl 14 hehe dah gitu aja	Fear
anak cewe sendirii, takut kenapa napaa kali. sy pun tak tahu	Fear
udah nyoba dari pagi-siang-sore-malem sampe jam 1/2/3/4 subuh juga kagak bisa trs aku panik dong	Fear
dipeluk enak nih	Joy
masih dongg wkkwkwtar klo gk semangat gk bisa bucinin bebep2 aku	Joy
semangat dan bertambah kuatlah kalian frp_natsud_ frp_lucyheart frp_wendy ~	Joy
jangan lupa sarapann semangat buat hari inii ayang semoga harimu menyenangkan !!	Joy
aw ikut seneng semangat ya kuliahnya!	Joy
semangat!!	Joy
senang bermain salju	Joy
nikmati, bisa senang-senang bareng teman tapi tetap produktif,	Joy
akhirnya syuting lagii, semangat ayank	Joy
kalau yg cuma kembang tahu doang, aku belum pernah coba tapi pasti enak.,duh lupa namanya	Joy
ingett wkwk. iyaa dog lalu kita bertiga , sama dina mabuk kepayang sama legollas, pinjam cd nya di rentalan , astagaa kita remaja bahagia ya waktu ity	Joy
semangat kak. sudah terima chat wa dari kemenkes belum. disana ada petunjuk konsul gratis online dan tebus obat.	Joy
semangat ngantornyaa	Joy
pokok semangat sek	Joy
happy birthday jiann adek gantengkuu gemes ucul kuat perkasa semoga rl charamu dan kamunya sukses terus, bahagia selalu, dikasih banyak rejeki & kedamaian hidup, banyak yg makin sayang sama kmu juga! have a wonderful day	Joy
hai kak hwii!! don't skip ur breakfast yaa,semoga harinya berjalan lancar,dimudahkan segala urusannya,dijauhkan dari marabahaya,semoga selalu ada dlm lindungan tuhan,janlup vitaminnya ya,semangat!! janlup senyum hihi,stay healthy & always be happy!! have a great day kak	Joy
semangat buat hari ini!	Joy
sering-sering bikin au taeyong yaakk, seruu! semangat teruss nob	Joy
semangat kamuu	Joy
ojo lali , ngemil ceria by	Joy
suka banget kata2, "kebenaran hanya menurut selera kalian saja."	Love
hanse mode anak rumahan gini tuh aku suka banget wkwk pake kaos terus bawahnya celana model apapun itu, misal jeans atau training tuh fav banget sih. atau pake kemeja.. sebenernya apapun style nya suka aja sih	Love
ya kali ngejar ngejar cinta, ngejar tahajjud aja kadang suka telat	Love
selamat pagi sender! sana avail nih pas hari valentine, nanti disayang-sayang sama sana, dia orangnya manja dan suka manjain balik terus juga suka usel-usel sama pacarnya. aku drop carrd sana ya kalau kalau tertari langsung ketuk dm aku ya!	Love
sopaa!! cuz akuu suka banget jurusan tari di sana aku sering ngikutin daily school nya anak sopaa dan itu asik asik bangett mereka juga suka ada event!!	Love
btw roo makasih rekomendasinyaa suka banget sama ini au beneran dah tt aku sampe sakit perut ketawa mulu	Love
awalnya mas firman suka masak ini karena suka nonton masterchef australia season 2 pada 2010, nah mulai dari situlah benih-benih cinta terhadap masakan mulai muncul. untuk chef favorit atau panutannya sendiri ada gordon ramsey, sebastian fitarau dan marion grasby.	Love
heh crush sya ko lucu banget ya pengen jujur deh sama muhammad kenzie rafael bahwa sya suka sma diaa	Love
sopaa!! cuz akuu suka banget jurusan tari di sana aku sering ngikutin daily school nya anak sopaa dan itu asik asik bangett mereka juga suka ada event!!	Love
ya udah, enggak apa. gue sama sahabat gue di sma pernah suka sama laki yang sama. kita bawa fun aja, inget banget waktu tuh laki lagi main futsal di lapangan sekolah, siapa yang liat duluan, nanti kasih tau terus nonton bareng.	Love
iya bangett suka minderan, kalo nemenin temen yg suka nya cuma liat2 aja kadang suka malu banget	Love
gw suka banget akumo no ko	Love
sama-sama, dia gak suka pilih-pilih makanan, ya? kayanya nina juga kasih makan yang banyak sampai dia gembul, lucu..	Love
lucu banget editannya aku waktu sma suka banget sama series ini. liburan ke bandung cuma buat nyari gramedia buat beli series ke-4 karena dikota aku belum ada	Love
dibuat sama gdh, emang udah jaminan mutu ya. suka banget sih sama gaya berceritanya, banyak kasih liat reaksi orang-orang. pokoknya tiap toon sungkem sama nenek-nenek, dada gue langsung sesek ada di netflix, last day to watch 28 feb besok! jadi buruan deh ditonton.	Love
suka kasih something ke pacar jadi kalau kamu milih aku gaakan bosen dan bakalan dibuat happy terus hehe kalau kamu tertarik bisa langsung check carrd aku atau dm ke agensi aku disini see u	Love
bagus banget buat akuu!! mungkin kalo suka genre drama trus genderband bakal suka fl-nya jg independent, tapi bukan tipe fl yg badass	Love
haloo sender, izinkan kala mengajukan diri ya kebetulan bisa avail ditanggal segitu plus juga bisa ke kkt dan bisa movie date juga, aku tipikal yang suka banget nyeritain hal random ke pasangan, soft juga paling suka kalau lagi ngebucinin pasangan dan diem diem aku	Love
sedih banget tiapnliat kucing2 yang gue kasih makan suka berantem rebutan. padahal seharusnya mereka semua bekerja sama untuk menggulingkan gue sebagai manusia kapitalis yang memegang kuasa akan sumber makanan mereka.	Love
ada yang suka sama bill skasgard reply sama favorit movie dong, gue lagi nunggu banget doi adu peran di "boys kills word" sama yayan ruhiyan perannya jadi bisu dan tuli mvs	Love
pengabdian yang terpuji meskipun terlihat biasa	Neutral
baru saja mengirim foto	Neutral
apa kabar dunia twitter ? masihkah selucu dan seabsurd dulu ?	Neutral
yah gimana sih yang yaudah susul aku dulu kita sarapan bubur di tempat biasa	Neutral
saja ka dorg suro beli medium 2 set	Neutral
ayo cek koleksinya, temukan angry draken yang unik nftindonesiamendunia _merketplace : skin normal: 0.003 eth	Neutral
kalau gitu biasa biasa aja dah gua.	Neutral
dalam tiap-tiap twit, tak melulu perlu ada pesan moral. kadang yg kita perlukan hanya tersenyum membaca twit lucu tanpa arti, utk memulai hari yg bahagia.	Neutral
halo v, apa kabar nih	Neutral
pagi ruby, apa kabar?	Neutral
beredar kabar haji faisal kini mulai pasang tarif rp 5 juta untuk sekali wawancara	Neutral
yukk gass, sudah siap mental siapa saja yang mau pergi	Neutral
menurut kabar, burung temen ane lagi sakit	Neutral
dah biasa sgt kalau dlm mimpi suka buat kecoh, jerit-jerit because ya know mimpi kan selalu opposite dgn perangai biasa kita. tapi masalahnya, tiba-tiba nak menjerit dlm loghat nismilan kat mak cik dan anak dia sbb menyibuk	Neutral
oh kalo kfc iya masih ada rasanya, tapi kalo ayam biasa kan.. beda gak sih	Neutral
dipikir pikir habis dapet kabar baik eh langsung gitu bisa dibalik	Neutral
baru saja mengirim foto ngaringan klumpit	Neutral
ternyata bkn aku saja yg diperlakukan seperti itu. cewe lain jg sama specialnya dimata dia	Neutral
cukup ke spook di banner weapon sekali saja hiks. tapi paling ntar coba 10x pull di engulf.	Neutral
baru saja mengirim video	Neutral
akibat dari telat bangun, anak ikut bangun dan dapur dan rumah tidak kepegang sampe jam segini. sedih karena berantakan, tp gppa dehh penting anak dah mandi dan kenyang dulu. alon-alon asal kelakon	Sad
sepi	Sad
sedih dah	Sad
sedih emg kalo ditinggal temen ngebucin, sedih ga ada waktu main sm temen, sedih krna pengen ngebucin jg	Sad
sedih bener niih club ya	Sad
sch! soalnya di sekolah ku (jateng) kekurangan guru bangett,,banyak guru yg bukan bidangnya justru ngajar di bidang tsb,dan bahkan kepseknya juga rangkap sama sekolah lain. kl emg ini bener sedih banget,gimana generasi kedepannya :(	Sad
kok saya tetap sedih ya	Sad
ya allah aku sedih kali sumpah denise hsgsfscs dari awal aku udh bad feeling tapi masih berharap gitulo paham kan	Sad
gk bs gmbr biar folls/ moots mengerti dan tdk kecewa dgn diriku yang tak bisa gmbr tp maksa sok gmbr	Sad
semoga kamu tak perlu mengenal sedih ku, semoga kau mengenal ku, yang hanya ku, dengan segala baik dan buruk ku..	Sad
dih sepi amat	Sad
gua semalem lagi asik baca tiba tiba dia lock akun sedih bgt	Sad
asli ikutan sedih banget denise out, aku suka banget suaranyaa:(	Sad
yuna jangan lewat tl dong, w jdi sedih lagi	Sad
sedih baru ngeh jimin ngerayain tahun baru di rumah sakit ya	Sad
bener sih waktu itu lagi pengen nonton yg sedih-sedih langsung cus nonton ini dan berakhir mewek nangis	Sad
pagi" saya udh di sambut tangis bunda	Sad
mon, jgn cerita sedih muluu.. ____	Sad
sedih banget :((	Sad
yatuhann sedih bgt gue juga dritadi bacain review orang2 pda jelek2 bgt abis minum bukannya langsing malah pada sakit parah2 ngeri	Sad
