,Tweet,Label,Processed_Tweet
0,pagi2 udah di buat emosi :),Anger,pagi2 udah emosi
1,"kok stabilitas negara, memange 10 thn negara tdk aman, bahkan sby menyuburkan ormas2 radikal, intoleran, teroris, yg berafiliasi ke partai tertentu..narasi klhtn intelektual tp bodoh..",Anger,stabilitas negara memange 10 thn negara tdk aman sby menyuburkan ormas2 radikal intoleran teroris yg berafiliasi partai tertentunarasi klhtn intelektual tp bodoh
2,dah lah emosi mulu liat emyu,Anger,dah emosi mulu liat emyu
3,"aib? bodoh benar! sebelum kata aib itu muncul, terlebih dahulu sudah ada tindakan. yakni kekejian! jangan kau sembunyikan caramu menelaah masalah. semisal anak perempuanmu ditempeleng! apa kau juga setuju untuk dia bersikap bungkam? melapor polisi adl benar. lantas apa bedanya",Anger,aib bodoh aib muncul tindakan kekejian kau sembunyikan caramu menelaah anak perempuanmu ditempeleng kau setuju bersikap bungkam melapor polisi adl lantas bedanya
4,dih lu yg nyebelin bego,Anger,dih lu yg nyebelin bego
5,"asli malu maluin org indo tolol yg rep latah ""cilukba"" pake huruf hijaiyah sm ""ngntd"" sama ganti huruf t pake salib, ada tiktok filipin lewat fyp aku dan repnya ""ngtd"" semua, dasar goblogg trend tiktok ter tolol",Anger,asli malu maluin org indo tolol yg rep latah cilukba pake huruf hijaiyah sm ngntd ganti huruf t pake salib tiktok filipin fyp repnya ngtd dasar goblogg trend tiktok ter tolol
6,drama abg tolol,Anger,drama abg tolol
7,masih emosi sih sama katla kemarin. mana keterangannya gini aja. ((hasil mengaci)) kzl.,Anger,emosi sih katla kemarin keterangannya gini aja hasil mengaci kzl
8,"bangsat tribute no.1, bencana no.2 mau ngalahin ini keknya",Anger,bangsat tribute no1 bencana no2 ngalahin keknya
9,pengen pergi jauh terus teriak sambil nangis sekencang kencangnya nanti balik kalo gue udah lupa segalanya wkwj kn tolol mustahil banget,Anger,pengen pergi teriak nangis sekencang kencangnya kalo gue udah lupa wkwj kn tolol mustahil banget
10,ya allah mau marah tpi gimana ya,Anger,ya allah marah tpi gimana ya
11,silibus kita memang kbat gila babi. bodoh yang buat silibus ni. learning should be fun.,Anger,silibus kbat gila babi bodoh silibus ni learning should be fun
12,"pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa",Anger,pagipagi dikerjain orang haha gua bego ya gua ladenin lahh liat sampe manaa
13,"angka covid lagi naek. kalo masih dilanjut event offlinenya, asli bodoh sih ni brand.",Anger,angka covid naek kalo dilanjut event offlinenya asli bodoh sih ni brand
14,"bukan lebih ke sangar sih , kalo menurutku goblokk bin tolol . di ingetin untuk kebaikan malah acuh",Anger,sangar sih kalo menurutku goblokk bin tolol ingetin kebaikan acuh
15,"mas ngelonte dulu mas, biar otaknya jadi seger lg, bagi org kafir seperti lu ngewe dgn lonte ibadah yg utama. punya tolol kok kebangetan bgt sih",Anger,ma ngelonte ma biar otaknya seger lg org kafir lu ngewe dgn lonte ibadah yg utama tolol kebangetan bgt sih
16,1-10!! marah aku,Anger,110 marah
17,tolol banget. mana ada bercinta. yg ada mimpi di kejar kejar setan semalem. asu bocil nih yang iya iya aja kalo bicara,Anger,tolol banget bercinta yg mimpi kejar kejar setan semalem asu bocil nih iya iya aja kalo bicara
18,"izinin suami poligami buat menghindari zina? lol banget, heh mmngnya nabi saya poligami gegara mata keranjang trus sangean? trus ada niatan zina, tpi biar gak zina jdi dinikahin? ngelirik cewek sambil nyebarin ajaran agama gitu? tolol, belajar agama lagi sana",Anger,izinin suami poligami menghindari zina lol banget heh mmngnya nabi poligami gegara mata keranjang trus sangean trus niatan zina tpi biar gak zina jdi dinikahin ngelirik cewek nyebarin ajaran agama gitu tolol belajar agama
19,gua nyerah joki aja kali ya tugas poem ya allah kenapa aku bego b ing,Anger,gua nyerah joki aja kali ya tugas poem ya allah bego b ing
20,trs barusan dia reach out aku trs minta tolong buat bantu project dia yaallaah aaaa jujur agak takut pressure tp ok gapapa,Fear,trs barusan reach out trs tolong bantu project yaallaah aaaa jujur takut pressure tp ok gapapa
21,"sumpah ini receh bgt dan not bts related. cm jujur w magang padet bgt dikasih project mayan banyak. trs kemaren ada senior gd presentasi gt dan keeren2 bgt nangis parah. trs aku pengen chat blio pengen tanya2. minta nomornya ke hrd, dapet, tp mau chat gajadi soalnya takut",Fear,sumpah receh bgt not bts related cm jujur w magang padet bgt dikasih project mayan trs kemaren senior gd presentasi gt keeren2 bgt nangis parah trs pengen chat blio pengen tanya2 nomornya hrd dapet tp chat gajadi takut
22,ragu utk bisa beli barang tu karn harganya bisa buat cicilan bulanan,Fear,ragu utk beli barang tu karn harganya cicilan bulanan
23,bisa gak sih langsung tanggal 11 aja gausah ada tanggal 10 gua takut banget mana 2 hari lagi,Fear,gak sih langsung tanggal 11 aja gausah tanggal 10 gua takut banget 2
24,iya kaan yg lain suka pada coba pd gpp tp tetep takut wkwk,Fear,iya kaan yg suka coba pd gpp tp tetep takut wkwk
25,eh sumpah gw takut bangett. serem bangett itu orang,Fear,eh sumpah gw takut bangett serem bangett orang
26,"namnjim lag like like nya ngeri bgt, anak buah imam jumbo emg sama aja semuanya",Fear,namnjim lag like like nya ngeri bgt anak buah imam jumbo emg aja
27,ogeb bat dah pake sok sok an kaget,Fear,ogeb bat dah pake sok sok an kaget
28,"plis nilai akm keluarnya lama banget, takut",Fear,plis nilai akm keluarnya banget takut
29,"mau ikut esd aja telat, trus takut flop",Fear,esd aja telat trus takut flop
30,emm hampir setiap waktu gitu sampe panik?,Fear,emm gitu sampe panik
31,jadi malu saya,Fear,malu
32,sinb kamu tiati mukanya yak takut krna evil edit,Fear,sinb tiati mukanya yak takut krna evil edit
33,buset ngeri bgt,Fear,buset ngeri bgt
34,"nah kan, sudah pasti ada alasan kuat, mengapa direksi sebelumya mengundurkan diri. belum apa apa udah jadi bumper. ngeri ngeri sedap.",Fear,alasan kuat direksi sebelumya mengundurkan udah bumper ngeri ngeri sedap
35,pas bangun langsung kaget..,Fear,pa bangun langsung kaget
36,men's team grup b ngeri kali,Fear,men team grup b ngeri kali
37,but again aku ga registrasi beneran cuma stop di situ aja soalnya takut kualat kan udh dibilangin yg gap registrasinya tgl 14 hehe dah gitu aja,Fear,but again ga registrasi beneran stop situ aja takut kualat udh dibilangin yg gap registrasinya tgl 14 hehe dah gitu aja
38,"anak cewe sendirii, takut kenapa napaa kali. sy pun tak tahu",Fear,anak cewe sendirii takut napaa kali sy
39,udah nyoba dari pagi-siang-sore-malem sampe jam 1/2/3/4 subuh juga kagak bisa trs aku panik dong,Fear,udah nyoba pagisiangsoremalem sampe jam 1234 subuh kagak trs panik
40,dipeluk enak nih,Joy,dipeluk enak nih
41,masih dongg wkkwkwtar klo gk semangat gk bisa bucinin bebep2 aku,Joy,dongg wkkwkwtar klo gk semangat gk bucinin bebep2
42,semangat dan bertambah kuatlah kalian frp_natsud_ frp_lucyheart frp_wendy ~,Joy,semangat bertambah kuatlah frpnatsud frplucyheart frpwendy
43,jangan lupa sarapann semangat buat hari inii ayang semoga harimu menyenangkan !!,Joy,lupa sarapann semangat inii ayang semoga harimu menyenangkan
44,aw ikut seneng semangat ya kuliahnya!,Joy,aw seneng semangat ya kuliahnya
45,semangat!!,Joy,semangat
46,senang bermain salju,Joy,senang bermain salju
47,"nikmati, bisa senang-senang bareng teman tapi tetap produktif,",Joy,nikmati senangsenang bareng teman produktif
48,"akhirnya syuting lagii, semangat ayank",Joy,syuting lagii semangat ayank
49,"kalau yg cuma kembang tahu doang, aku belum pernah coba tapi pasti enak.,duh lupa namanya",Joy,yg kembang doang coba enakduh lupa namanya
50,"ingett wkwk. iyaa dog lalu kita bertiga , sama dina mabuk kepayang sama legollas, pinjam cd nya di rentalan , astagaa kita remaja bahagia ya waktu ity",Joy,ingett wkwk iyaa dog bertiga dina mabuk kepayang legollas pinjam cd nya rentalan astagaa remaja bahagia ya ity
51,semangat kak. sudah terima chat wa dari kemenkes belum. disana ada petunjuk konsul gratis online dan tebus obat.,Joy,semangat kak terima chat wa kemenkes disana petunjuk konsul gratis online tebus obat
52,semangat ngantornyaa,Joy,semangat ngantornyaa
53,pokok semangat sek,Joy,pokok semangat sek
54,"happy birthday jiann adek gantengkuu gemes ucul kuat perkasa semoga rl charamu dan kamunya sukses terus, bahagia selalu, dikasih banyak rejeki & kedamaian hidup, banyak yg makin sayang sama kmu juga! have a wonderful day",Joy,happy birthday jiann adek gantengkuu gemes ucul kuat perkasa semoga rl charamu kamunya sukses bahagia dikasih rejeki kedamaian hidup yg sayang kmu have a wonderful day
55,"hai kak hwii!! don't skip ur breakfast yaa,semoga harinya berjalan lancar,dimudahkan segala urusannya,dijauhkan dari marabahaya,semoga selalu ada dlm lindungan tuhan,janlup vitaminnya ya,semangat!! janlup senyum hihi,stay healthy & always be happy!! have a great day kak",Joy,hai kak hwii dont skip ur breakfast yaasemoga harinya berjalan lancardimudahkan urusannyadijauhkan marabahayasemoga dlm lindungan tuhanjanlup vitaminnya yasemangat janlup senyum hihistay healthy always be happy have a great day kak
56,semangat buat hari ini!,Joy,semangat
57,"sering-sering bikin au taeyong yaakk, seruu! semangat teruss nob",Joy,seringsering bikin au taeyong yaakk seruu semangat teruss nob
58,semangat kamuu,Joy,semangat kamuu
59,"ojo lali , ngemil ceria by",Joy,ojo lali ngemil ceria by
60,"suka banget kata2, ""kebenaran hanya menurut selera kalian saja.""",Love,suka banget kata2 kebenaran selera
61,"hanse mode anak rumahan gini tuh aku suka banget wkwk pake kaos terus bawahnya celana model apapun itu, misal jeans atau training tuh fav banget sih. atau pake kemeja.. sebenernya apapun style nya suka aja sih",Love,hanse mode anak rumahan gini tuh suka banget wkwk pake kaos bawahnya celana model apapun jean training tuh fav banget sih pake kemeja sebenernya apapun style nya suka aja sih
62,"ya kali ngejar ngejar cinta, ngejar tahajjud aja kadang suka telat",Love,ya kali ngejar ngejar cinta ngejar tahajjud aja kadang suka telat
63,"selamat pagi sender! sana avail nih pas hari valentine, nanti disayang-sayang sama sana, dia orangnya manja dan suka manjain balik terus juga suka usel-usel sama pacarnya. aku drop carrd sana ya kalau kalau tertari langsung ketuk dm aku ya!",Love,selamat pagi sender avail nih pa valentine disayangsayang orangnya manja suka manjain suka uselusel pacarnya drop carrd ya tertari langsung ketuk dm ya
64,sopaa!! cuz akuu suka banget jurusan tari di sana aku sering ngikutin daily school nya anak sopaa dan itu asik asik bangett mereka juga suka ada event!!,Love,sopaa cuz akuu suka banget jurusan tari ngikutin daily school nya anak sopaa asik asik bangett suka event
65,btw roo makasih rekomendasinyaa suka banget sama ini au beneran dah tt aku sampe sakit perut ketawa mulu,Love,btw roo makasih rekomendasinyaa suka banget au beneran dah tt sampe sakit perut ketawa mulu
66,"awalnya mas firman suka masak ini karena suka nonton masterchef australia season 2 pada 2010, nah mulai dari situlah benih-benih cinta terhadap masakan mulai muncul. untuk chef favorit atau panutannya sendiri ada gordon ramsey, sebastian fitarau dan marion grasby.",Love,ma firman suka masak suka nonton masterchef australia season 2 2010 situlah benihbenih cinta masakan muncul chef favorit panutannya gordon ramsey sebastian fitarau marion grasby
67,heh crush sya ko lucu banget ya pengen jujur deh sama muhammad kenzie rafael bahwa sya suka sma diaa,Love,heh crush sya ko lucu banget ya pengen jujur deh muhammad kenzie rafael sya suka sma diaa
68,sopaa!! cuz akuu suka banget jurusan tari di sana aku sering ngikutin daily school nya anak sopaa dan itu asik asik bangett mereka juga suka ada event!!,Love,sopaa cuz akuu suka banget jurusan tari ngikutin daily school nya anak sopaa asik asik bangett suka event
69,"ya udah, enggak apa. gue sama sahabat gue di sma pernah suka sama laki yang sama. kita bawa fun aja, inget banget waktu tuh laki lagi main futsal di lapangan sekolah, siapa yang liat duluan, nanti kasih tau terus nonton bareng.",Love,ya udah gue sahabat gue sma suka laki bawa fun aja inget banget tuh laki main futsal lapangan sekolah liat duluan kasih tau nonton bareng
70,"iya bangett suka minderan, kalo nemenin temen yg suka nya cuma liat2 aja kadang suka malu banget",Love,iya bangett suka minderan kalo nemenin temen yg suka nya liat2 aja kadang suka malu banget
71,gw suka banget akumo no ko,Love,gw suka banget akumo no ko
72,"sama-sama, dia gak suka pilih-pilih makanan, ya? kayanya nina juga kasih makan yang banyak sampai dia gembul, lucu..",Love,samasama gak suka pilihpilih makanan ya kayanya nina kasih makan gembul lucu
73,lucu banget editannya aku waktu sma suka banget sama series ini. liburan ke bandung cuma buat nyari gramedia buat beli series ke-4 karena dikota aku belum ada,Love,lucu banget editannya sma suka banget series liburan bandung nyari gramedia beli series ke4 dikota
74,"dibuat sama gdh, emang udah jaminan mutu ya. suka banget sih sama gaya berceritanya, banyak kasih liat reaksi orang-orang. pokoknya tiap toon sungkem sama nenek-nenek, dada gue langsung sesek ada di netflix, last day to watch 28 feb besok! jadi buruan deh ditonton.",Love,gdh emang udah jaminan mutu ya suka banget sih gaya berceritanya kasih liat reaksi orangorang pokoknya toon sungkem neneknenek dada gue langsung sesek netflix last day to watch 28 feb besok buruan deh ditonton
75,suka kasih something ke pacar jadi kalau kamu milih aku gaakan bosen dan bakalan dibuat happy terus hehe kalau kamu tertarik bisa langsung check carrd aku atau dm ke agensi aku disini see u,Love,suka kasih something pacar milih gaakan bosen happy hehe tertarik langsung check carrd dm agensi see u
76,"bagus banget buat akuu!! mungkin kalo suka genre drama trus genderband bakal suka fl-nya jg independent, tapi bukan tipe fl yg badass",Love,bagus banget akuu kalo suka genre drama trus genderband suka flnya jg independent tipe fl yg badass
77,"haloo sender, izinkan kala mengajukan diri ya kebetulan bisa avail ditanggal segitu plus juga bisa ke kkt dan bisa movie date juga, aku tipikal yang suka banget nyeritain hal random ke pasangan, soft juga paling suka kalau lagi ngebucinin pasangan dan diem diem aku",Love,haloo sender izinkan mengajukan ya avail ditanggal segitu plus kkt movie date tipikal suka banget nyeritain random pasangan soft suka ngebucinin pasangan diem diem
78,sedih banget tiapnliat kucing2 yang gue kasih makan suka berantem rebutan. padahal seharusnya mereka semua bekerja sama untuk menggulingkan gue sebagai manusia kapitalis yang memegang kuasa akan sumber makanan mereka.,Love,sedih banget tiapnliat kucing2 gue kasih makan suka berantem rebutan menggulingkan gue manusia kapitalis memegang kuasa sumber makanan
79,"ada yang suka sama bill skasgard reply sama favorit movie dong, gue lagi nunggu banget doi adu peran di ""boys kills word"" sama yayan ruhiyan perannya jadi bisu dan tuli mvs",Love,suka bill skasgard reply favorit movie gue nunggu banget doi adu peran boy kill word yayan ruhiyan perannya bisu tuli mv
80,pengabdian yang terpuji meskipun terlihat biasa,Neutral,pengabdian terpuji
81,baru saja mengirim foto,Neutral,mengirim foto
82,apa kabar dunia twitter ? masihkah selucu dan seabsurd dulu ?,Neutral,kabar dunia twitter selucu seabsurd
83,yah gimana sih yang yaudah susul aku dulu kita sarapan bubur di tempat biasa,Neutral,yah gimana sih yaudah susul sarapan bubur
84,saja ka dorg suro beli medium 2 set,Neutral,ka dorg suro beli medium 2 set
85,"ayo cek koleksinya, temukan angry draken yang unik nftindonesiamendunia _merketplace : skin normal: 0.003 eth",Neutral,ayo cek koleksinya temukan angry draken unik nftindonesiamendunia merketplace skin normal 0003 eth
86,kalau gitu biasa biasa aja dah gua.,Neutral,gitu aja dah gua
87,"dalam tiap-tiap twit, tak melulu perlu ada pesan moral. kadang yg kita perlukan hanya tersenyum membaca twit lucu tanpa arti, utk memulai hari yg bahagia.",Neutral,tiaptiap twit melulu pesan moral kadang yg perlukan tersenyum membaca twit lucu arti utk yg bahagia
88,"halo v, apa kabar nih",Neutral,halo v kabar nih
89,"pagi ruby, apa kabar?",Neutral,pagi ruby kabar
90,beredar kabar haji faisal kini mulai pasang tarif rp 5 juta untuk sekali wawancara,Neutral,beredar kabar haji faisal pasang tarif rp 5 juta wawancara
91,"yukk gass, sudah siap mental siapa saja yang mau pergi",Neutral,yukk gas mental pergi
92,"menurut kabar, burung temen ane lagi sakit",Neutral,kabar burung temen ane sakit
93,"dah biasa sgt kalau dlm mimpi suka buat kecoh, jerit-jerit because ya know mimpi kan selalu opposite dgn perangai biasa kita. tapi masalahnya, tiba-tiba nak menjerit dlm loghat nismilan kat mak cik dan anak dia sbb menyibuk",Neutral,dah sgt dlm mimpi suka kecoh jeritjerit because ya know mimpi opposite dgn perangai tibatiba nak menjerit dlm loghat nismilan kat mak cik anak sbb menyibuk
94,"oh kalo kfc iya masih ada rasanya, tapi kalo ayam biasa kan.. beda gak sih",Neutral,oh kalo kfc iya kalo ayam beda gak sih
95,dipikir pikir habis dapet kabar baik eh langsung gitu bisa dibalik,Neutral,dipikir pikir habis dapet kabar eh langsung gitu dibalik
96,baru saja mengirim foto ngaringan klumpit,Neutral,mengirim foto ngaringan klumpit
97,ternyata bkn aku saja yg diperlakukan seperti itu. cewe lain jg sama specialnya dimata dia,Neutral,bkn yg diperlakukan cewe jg specialnya dimata
98,cukup ke spook di banner weapon sekali saja hiks. tapi paling ntar coba 10x pull di engulf.,Neutral,spook banner weapon hiks ntar coba 10x pull engulf
99,baru saja mengirim video,Neutral,mengirim video
100,"akibat dari telat bangun, anak ikut bangun dan dapur dan rumah tidak kepegang sampe jam segini. sedih karena berantakan, tp gppa dehh penting anak dah mandi dan kenyang dulu. alon-alon asal kelakon",Sad,akibat telat bangun anak bangun dapur rumah kepegang sampe jam segini sedih berantakan tp gppa dehh anak dah mandi kenyang alonalon kelakon
101,sepi,Sad,sepi
102,sedih dah,Sad,sedih dah
103,"sedih emg kalo ditinggal temen ngebucin, sedih ga ada waktu main sm temen, sedih krna pengen ngebucin jg",Sad,sedih emg kalo ditinggal temen ngebucin sedih ga main sm temen sedih krna pengen ngebucin jg
104,sedih bener niih club ya,Sad,sedih bener niih club ya
105,"sch! soalnya di sekolah ku (jateng) kekurangan guru bangett,,banyak guru yg bukan bidangnya justru ngajar di bidang tsb,dan bahkan kepseknya juga rangkap sama sekolah lain. kl emg ini bener sedih banget,gimana generasi kedepannya :(",Sad,sch sekolah ku jateng kekurangan guru bangettbanyak guru yg bidangnya ngajar bidang tsbdan kepseknya rangkap sekolah kl emg bener sedih bangetgimana generasi kedepannya
106,kok saya tetap sedih ya,Sad,sedih ya
107,ya allah aku sedih kali sumpah denise hsgsfscs dari awal aku udh bad feeling tapi masih berharap gitulo paham kan,Sad,ya allah sedih kali sumpah denise hsgsfscs udh bad feeling berharap gitulo paham
108,gk bs gmbr biar folls/ moots mengerti dan tdk kecewa dgn diriku yang tak bisa gmbr tp maksa sok gmbr,Sad,gk b gmbr biar folls moot mengerti tdk kecewa dgn diriku gmbr tp maksa sok gmbr
109,"semoga kamu tak perlu mengenal sedih ku, semoga kau mengenal ku, yang hanya ku, dengan segala baik dan buruk ku..",Sad,semoga mengenal sedih ku semoga kau mengenal ku ku buruk ku
110,dih sepi amat,Sad,dih sepi
111,gua semalem lagi asik baca tiba tiba dia lock akun sedih bgt,Sad,gua semalem asik baca lock akun sedih bgt
112,"asli ikutan sedih banget denise out, aku suka banget suaranyaa:(",Sad,asli ikutan sedih banget denise out suka banget suaranyaa
113,"yuna jangan lewat tl dong, w jdi sedih lagi",Sad,yuna tl w jdi sedih
114,sedih baru ngeh jimin ngerayain tahun baru di rumah sakit ya,Sad,sedih ngeh jimin ngerayain rumah sakit ya
115,bener sih waktu itu lagi pengen nonton yg sedih-sedih langsung cus nonton ini dan berakhir mewek nangis,Sad,bener sih pengen nonton yg sedihsedih langsung cu nonton mewek nangis
116,"pagi"" saya udh di sambut tangis bunda",Sad,pagi udh sambut tangis bunda
117,"mon, jgn cerita sedih muluu.. ____",Sad,mon jgn cerita sedih muluu
118,sedih banget :((,Sad,sedih banget
119,yatuhann sedih bgt gue juga dritadi bacain review orang2 pda jelek2 bgt abis minum bukannya langsing malah pada sakit parah2 ngeri,Sad,yatuhann sedih bgt gue dritadi bacain review orang2 pda jelek2 bgt abis minum langsing sakit parah2 ngeri
